publication_title,publication_url,product_sku,product_price,product_category,product_city,product_zone,product_neighborhood,business_type,product_type,antiquity,stratum,isUsed,featured,longitude,latitude,privateArea,builtArea,rooms,bathrooms,garages,adminPrice
"Apartamento en Venta, ALTOS DE CABECERA, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-cabecera-del-llano-5-habitaciones-5-banos-2-garajes/5066-M4528076,5066-M4528076,1250000000,venta - Apartamento,Bucaramanga,Nororiente,CABECERA DEL LLANO,venta,Apartamento,Más de 20 años,6,true,"[""Aire acondicionado"",""Citófonos"",""Comedor auxiliar"",""Cuarto de servicio"",""Estudio o biblioteca"",""Parqueadero cubierto"",""Hall de alcobas"",""Zona de lavandería"",""Instalación de gas natural"",""Closets 4"",""Piso 1"",""Calentador gas"",""Tipo de cocina en u"",""Tipo de comedor comedor independiente"",""Deposito 0"",""Tipo de estufa gas"",""Tipo de parqueadero propio"",""Tipo de piso en alcobas laminado"",""Tipo de piso en comedor porcelanato"",""Tipo de piso en estudio porcelanato"",""Tipo de piso en sala porcelanato"",""Vista exterior"",""Area Terraza/Balcón 30 m²"",""Ascensor"",""Circuito cerrado de TV"",""Conjunto cerrado"",""Número de Ascensores 1"",""Terraza/Balcón terraza"",""Vigilancia 24hrs"",""Gimnasio"",""Salón comunal"",""Zona de BBQ"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía principal""]",-73.10795,7.118032,225,225,5,5,2,914280
"Casa en Venta, Fontana, Bucaramanga",/inmueble/venta-casa-bucaramanga-fontana-3-habitaciones-3-banos-1-garajes/12693-M4579350,12693-M4579350,400000000,venta - Casa,Bucaramanga,Suroccidente,FONTANA,venta,Casa,Entre 10 y 20 años,4,true,"[""Piso 2"",""Area lote 89 m²""]",-73.120224,7.0874386,89,89,3,3,1,208000
"Apartamento en Venta, Fontana, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-fontana-3-habitaciones-3-banos-1-garajes/12693-M4579552,12693-M4579552,420000000,venta - Apartamento,Bucaramanga,Suroccidente,FONTANA,venta,Apartamento,Más de 20 años,4,true,"[""Piso 4""]",-73.11649,7.0876827,120,120,3,3,1,50000
"Apartamento en Venta, Mejoras Publicas, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-mejoras-publicas-3-habitaciones-2-banos-1-garajes/12693-M4579614,12693-M4579614,340000000,venta - Apartamento,Bucaramanga,Centro,MEJORAS PUBLICAS,venta,Apartamento,Más de 20 años,4,true,"[""Piso 4""]",-73.11329,7.1209564,135,135,3,2,1,75000
"Apartamento en Venta, Bolarqui, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-sotomayor-4-habitaciones-2-banos-1-garajes/12693-M4579611,12693-M4579611,400000000,venta - Apartamento,Bucaramanga,Centro,SOTOMAYOR,venta,Apartamento,Más de 20 años,5,true,"[""Piso 4""]",-73.11438,7.113815,140,140,4,2,1,310000
"Apartamento en Venta, Alarcon, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-san-francisco-3-habitaciones-3-banos-1-garajes/12693-M4579341,12693-M4579341,330000000,venta - Apartamento,Bucaramanga,Noroccidente,SAN FRANCISCO,venta,Apartamento,Más de 20 años,4,true,"[""Piso 5""]",-73.12117,7.1277246,154,154,3,3,1,460000
"Apartamento en Venta, Cabecera Del Llano, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-conjunto-residencial-la-hacienda-3-habitaciones-4-banos-2-garajes/12693-M4579602,12693-M4579602,950000000,venta - Apartamento,Bucaramanga,Nororiente,CONJUNTO RESIDENCIAL LA HACIENDA,venta,Apartamento,Más de 20 años,6,true,"[""Piso 11""]",-73.10723,7.1195235,207,207,3,4,2,850000
"Apartamento en Venta, Antonia Santos Centro, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-antonia-santos-centro-3-habitaciones-2-banos-1-garajes/12693-M4579407,12693-M4579407,320000000,venta - Apartamento,Bucaramanga,Centro,ANTONIA SANTOS CENTRO,venta,Apartamento,Más de 20 años,4,true,"[""Piso 11""]",-73.119194,7.1220765,98,98,3,2,1,232000
"Apartamento en Venta, Bolivar, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-bolavar-3-habitaciones-2-banos-1-garajes/12693-M4579415,12693-M4579415,250000000,venta - Apartamento,Bucaramanga,Centro,BOLAVAR,venta,Apartamento,Entre 5 y 10 años,4,true,"[""Piso 19""]",-73.11819,7.119351,69,69,3,2,1,240000
"Apartamento en Venta, San Francisco, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-san-francisco-3-habitaciones-2-banos/12693-M4579313,12693-M4579313,280000000,venta - Apartamento,Bucaramanga,Noroccidente,SAN FRANCISCO,venta,Apartamento,Más de 20 años,3,true,"[""Piso 5""]",-73.12451,7.1335297,112,112,3,2,0,40000
"Apartamento en Venta, San Alonso, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-san-alonso-4-habitaciones-3-banos-2-garajes/12693-M4579557,12693-M4579557,550000000,venta - Apartamento,Bucaramanga,Noroccidente,SAN ALONSO,venta,Apartamento,Entre 5 y 10 años,4,true,"[""Piso 15""]",-73.11736,7.1290383,140,140,4,3,2,450000
"Apartamento en Venta, El Prado, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-el-prado-3-habitaciones-4-banos-1-garajes/12693-M4579537,12693-M4579537,430000000,venta - Apartamento,Bucaramanga,Nororiente,EL PRADO,venta,Apartamento,Entre 0 y 5 años,4,true,"[""Piso 6""]",-73.11078,7.1248593,126,126,3,4,1,160000
"Apartamento en Venta, Sotomayor, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-bolarqui-3-habitaciones-3-banos-1-garajes/12693-M4579419,12693-M4579419,350000000,venta - Apartamento,Bucaramanga,Centro,BOLARQUI,venta,Apartamento,Más de 20 años,5,true,"[""Piso 3""]",-73.113174,7.109861,143,143,3,3,1,200000
"Apartamento en Venta, Cabecera   San Pio, Bucaramanga",/inmueble/venta-apartamento-bucaramanga-cabecera-del-llano-3-habitaciones-4-banos-1-garajes/883-M4472145,883-M4472145,540000000,venta - Apartamento,Bucaramanga,Nororiente,CABECERA DEL LLANO,venta,Apartamento,Más de 20 años,5,true,"[""Comedor auxiliar"",""Cuarto de servicio"",""Parqueadero cubierto"",""Puerta seguridad"",""Zona de lavandería"",""Piso 8"",""Tipo de cocina en u"",""Tipo de comedor comedor independiente"",""Deposito 0"",""Tipo de parqueadero propio"",""Tipo acabado de piso cerámica"",""Vista exterior"",""Area Terraza/Balcón 6 m²"",""Ascensor"",""Número de Ascensores 1"",""Terraza/Balcón balcón"",""Vigilancia 24hrs"",""Cerca centros comerciales"",""Cerca colegios / universidades"",""Cerca parques"",""Cerca supermercados"",""Cerca transporte público"",""Sobre vía secundaria""]",-73.11108,7.1181903,182.36,182.36,3,4,1,684000
